Date,Open,High,Low,Close
2022-09-23 20:00,18807.57000000,19406.73000000,18803.00000000,19289.91000000
2022-09-24 00:00,19288.57000000,19316.14000000,19029.80000000,19121.92000000
2022-09-24 04:00,19121.92000000,19189.00000000,18925.94000000,18997.14000000
2022-09-24 08:00,18996.63000000,19119.75000000,18940.23000000,19051.63000000
2022-09-24 12:00,19052.24000000,19225.92000000,19012.49000000,19124.14000000
2022-09-24 16:00,19124.14000000,19195.00000000,19050.03000000,19103.30000000
2022-09-24 20:00,19102.68000000,19150.81000000,18805.34000000,18920.50000000
2022-09-25 00:00,18921.99000000,19062.00000000,18913.43000000,19053.67000000
2022-09-25 04:00,19052.83000000,19132.21000000,18937.62000000,19098.09000000
2022-09-25 08:00,19098.09000000,19180.21000000,18982.00000000,19117.94000000
2022-09-25 12:00,19117.95000000,19144.23000000,18841.91000000,18988.74000000
2022-09-25 16:00,18988.74000000,19123.27000000,18850.01000000,18915.49000000
2022-09-25 20:00,18915.49000000,18953.56000000,18629.20000000,18807.38000000
2022-09-26 00:00,18809.13000000,18948.11000000,18721.02000000,18868.39000000
2022-09-26 04:00,18869.07000000,18935.00000000,18680.72000000,18911.18000000
2022-09-26 08:00,18911.18000000,19318.96000000,18803.13000000,18876.62000000
2022-09-26 12:00,18876.62000000,19280.00000000,18817.62000000,19113.48000000
2022-09-26 16:00,19113.48000000,19269.69000000,18967.59000000,19202.77000000
2022-09-26 20:00,19202.16000000,19246.33000000,19070.05000000,19227.82000000
2022-09-27 00:00,19226.68000000,20300.00000000,19187.63000000,20099.04000000
2022-09-27 04:00,20099.04000000,20350.00000000,19958.85000000,20183.74000000
2022-09-27 08:00,20183.74000000,20338.39000000,20091.30000000,20229.26000000
2022-09-27 12:00,20230.35000000,20385.86000000,19865.00000000,19887.73000000
2022-09-27 16:00,19887.78000000,19954.49000000,18816.32000000,19077.59000000
2022-09-27 20:00,19077.59000000,19169.39000000,18926.91000000,19079.13000000
2022-09-28 00:00,19078.10000000,19238.28000000,18471.28000000,18745.65000000
2022-09-28 04:00,18746.20000000,18883.04000000,18622.00000000,18781.48000000
2022-09-28 08:00,18782.49000000,19155.08000000,18565.00000000,18955.43000000
2022-09-28 12:00,18954.96000000,19500.00000000,18940.02000000,19487.79000000
2022-09-28 16:00,19487.79000000,19666.66000000,19256.07000000,19546.72000000
2022-09-28 20:00,19546.72000000,19790.00000000,19386.22000000,19412.82000000
2022-09-29 00:00,19412.82000000,19605.00000000,19277.01000000,19507.50000000
2022-09-29 04:00,19507.50000000,19629.00000000,19267.00000000,19359.71000000
2022-09-29 08:00,19360.40000000,19550.00000000,19301.27000000,19463.04000000
2022-09-29 12:00,19463.04000000,19476.16000000,18843.01000000,19288.85000000
2022-09-29 16:00,19288.78000000,19645.52000000,19117.50000000,19405.37000000
2022-09-29 20:00,19402.63000000,19620.00000000,19379.74000000,19591.51000000
2022-09-30 00:00,19590.54000000,19700.00000000,19311.99000000,19398.12000000
2022-09-30 04:00,19397.72000000,19640.00000000,19387.87000000,19571.35000000
2022-09-30 08:00,19570.74000000,19635.53000000,19400.32000000,19436.29000000
2022-09-30 12:00,19435.79000000,20185.00000000,19155.36000000,19756.01000000
2022-09-30 16:00,19756.02000000,19873.50000000,19470.29000000,19473.52000000
2022-09-30 20:00,19473.52000000,19542.72000000,19240.44000000,19422.61000000
2022-10-01 00:00,19422.61000000,19484.00000000,19351.02000000,19416.05000000
2022-10-01 04:00,19416.05000000,19423.63000000,19258.53000000,19309.84000000
2022-10-01 08:00,19309.84000000,19367.98000000,19159.42000000,19312.04000000
2022-10-01 12:00,19312.04000000,19400.02000000,19240.08000000,19330.95000000
2022-10-01 16:00,19332.42000000,19353.81000000,19206.63000000,19266.15000000
2022-10-01 20:00,19266.15000000,19342.63000000,19200.00000000,19310.95000000
2022-10-02 00:00,19312.24000000,19345.88000000,19236.00000000,19310.83000000
2022-10-02 04:00,19310.36000000,19395.91000000,19227.73000000,19285.26000000
2022-10-02 08:00,19284.93000000,19300.55000000,19036.00000000,19192.43000000
2022-10-02 12:00,19193.05000000,19247.00000000,19070.00000000,19143.94000000
2022-10-02 16:00,19143.97000000,19341.58000000,19129.97000000,19260.63000000
2022-10-02 20:00,19260.63000000,19304.06000000,18920.35000000,19056.80000000
2022-10-03 00:00,19057.74000000,19258.96000000,18959.68000000,19168.29000000
2022-10-03 04:00,19168.35000000,19315.00000000,19059.68000000,19197.73000000
2022-10-03 08:00,19197.73000000,19255.30000000,19122.67000000,19245.41000000
2022-10-03 12:00,19246.81000000,19498.00000000,19134.23000000,19335.92000000
2022-10-03 16:00,19336.75000000,19650.00000000,19310.00000000,19541.38000000
2022-10-03 20:00,19543.31000000,19719.10000000,19508.83000000,19629.08000000
2022-10-04 00:00,19629.08000000,19722.60000000,19490.60000000,19598.27000000
2022-10-04 04:00,19598.27000000,19975.43000000,19554.00000000,19968.01000000
2022-10-04 08:00,19967.69000000,20152.00000000,19808.00000000,19939.00000000
2022-10-04 12:00,19939.00000000,20270.00000000,19905.30000000,20099.70000000
2022-10-04 16:00,20099.71000000,20272.98000000,19872.02000000,20220.09000000
2022-10-04 20:00,20220.09000000,20475.00000000,20139.51000000,20337.82000000
2022-10-05 00:00,20337.82000000,20365.60000000,20142.95000000,20189.83000000
2022-10-05 04:00,20190.66000000,20299.99000000,20074.91000000,20226.58000000
2022-10-05 08:00,20227.20000000,20245.58000000,19952.12000000,20027.43000000
2022-10-05 12:00,20028.74000000,20071.44000000,19730.00000000,20001.70000000
2022-10-05 16:00,20001.70000000,20350.00000000,19950.05000000,20119.47000000
2022-10-05 20:00,20117.31000000,20215.17000000,19975.42000000,20158.26000000
2022-10-06 00:00,20158.26000000,20445.52000000,20140.38000000,20355.69000000
2022-10-06 04:00,20356.08000000,20456.60000000,20156.00000000,20218.43000000
2022-10-06 08:00,20218.43000000,20257.42000000,20080.01000000,20245.22000000
2022-10-06 12:00,20244.46000000,20324.94000000,19874.81000000,20010.00000000
2022-10-06 16:00,20010.00000000,20256.00000000,19946.76000000,20010.62000000
2022-10-06 20:00,20010.62000000,20072.03000000,19853.00000000,19960.67000000
2022-10-07 00:00,19960.67000000,20054.41000000,19940.90000000,19981.88000000
2022-10-07 04:00,19982.86000000,20011.76000000,19810.00000000,19928.00000000
2022-10-07 08:00,19928.00000000,20024.70000000,19913.63000000,19998.90000000
2022-10-07 12:00,20000.15000000,20068.82000000,19474.71000000,19577.65000000
2022-10-07 16:00,19577.34000000,19606.52000000,19320.00000000,19459.32000000
2022-10-07 20:00,19459.32000000,19645.00000000,19440.73000000,19530.09000000
2022-10-08 00:00,19530.09000000,19627.38000000,19494.00000000,19504.78000000
2022-10-08 04:00,19504.78000000,19544.00000000,19415.60000000,19499.94000000
2022-10-08 08:00,19500.64000000,19548.00000000,19450.00000000,19534.21000000
